"","superhost","pax","bedrooms","price","review_rating","latitude","longitude","entire_home","hotel_room","shared_room","mininmum_nights","maximum_nights","availability_365","number_of_reviews","fullyBooked","instant_bookable"
"1","FALSE",2,1,452,4.83,-33.94739,18.476,1,0,0,3,730,335,54,FALSE,"FALSE"
"2","FALSE",6,3,2458,4.79,-33.80001,18.46063,1,0,0,2,120,197,30,FALSE,"FALSE"
"3","FALSE",2,1,968,5,-33.85812,18.49043,0,0,0,5,1125,304,5,FALSE,"FALSE"
"4","FALSE",2,1,2500,4.5,-33.91044,18.41239,1,0,0,14,30,365,2,FALSE,"FALSE"
"5","FALSE",4,2,1543,5,-34.03863,18.43128,1,0,0,2,365,271,9,FALSE,"FALSE"
"6","FALSE",3,1,620,5,-33.97069,18.49697,1,0,0,2,180,180,3,FALSE,"FALSE"
"7","TRUE",2,1,550,4.33,-33.92876,18.42247,1,0,0,14,365,277,19,FALSE,"FALSE"
"8","FALSE",12,6,20532,5,-33.96462,18.37595,1,0,0,4,730,288,1,FALSE,"FALSE"
"9","TRUE",2,1,786,5,-33.99463,18.46505,1,0,0,2,365,315,10,FALSE,"FALSE"
"10","TRUE",2,1,475,4.9,-33.97905,18.45676,1,0,0,2,60,327,62,FALSE,"FALSE"
"11","FALSE",2,2,750,5,-33.92667,18.40623,1,0,0,1,1125,74,6,FALSE,"FALSE"
"12","FALSE",6,3,1059,5,-33.95733,18.4881,1,0,0,7,30,115,14,FALSE,"FALSE"
"13","FALSE",7,4,563,2,-33.83305,18.49519,0,0,0,1,100,364,1,FALSE,"FALSE"
"14","FALSE",4,2,2000,4.73,-34.12549,18.44792,1,0,0,4,730,181,16,FALSE,"FALSE"
"15","FALSE",2,1,1086,5,-34.03644,18.431,1,0,0,2,365,325,4,FALSE,"FALSE"
"16","TRUE",2,1,550,4.76,-33.8212,18.48323,0,0,0,3,730,365,37,FALSE,"FALSE"
"17","TRUE",2,1,550,4.89,-33.81849,18.48452,0,0,0,3,180,365,27,FALSE,"FALSE"
"18","TRUE",2,1,550,4.67,-33.81933,18.48403,1,0,0,3,730,303,31,FALSE,"FALSE"
"19","FALSE",2,1,1400,5,-33.91405,18.41575,0,0,0,1,30,334,23,FALSE,"FALSE"
"20","FALSE",6,3,918,4.51,-33.94067,18.41885,1,0,0,2,60,181,72,FALSE,"TRUE"
"21","FALSE",10,5,7500,4.5,-34.04637,18.3656,1,0,0,5,365,57,2,FALSE,"FALSE"
"22","FALSE",4,2,799,4.45,-33.91788,18.38626,1,0,0,3,730,141,29,FALSE,"FALSE"
"23","FALSE",4,2,1760,4.89,-33.91113,18.40864,1,0,0,4,15,236,19,FALSE,"FALSE"
"24","TRUE",2,1,450,4.82,-34.10314,18.47446,1,0,0,1,30,288,30,FALSE,"FALSE"
"25","FALSE",2,1,1609,4.69,-33.93326,18.40511,0,0,0,2,180,324,43,FALSE,"TRUE"
"26","FALSE",4,2,600,4.84,-33.80488,18.46716,1,0,0,2,30,312,20,FALSE,"FALSE"
"27","FALSE",8,4,6778,4.95,-33.93903,18.39973,1,0,0,5,30,2,22,FALSE,"TRUE"
"28","TRUE",2,1,1000,4.85,-33.93541,18.40407,0,0,0,3,60,364,90,FALSE,"FALSE"
"29","FALSE",8,4,528,5,-34.07655,18.88112,0,0,0,6,365,363,1,FALSE,"FALSE"
"30","FALSE",8,3,950,3.33,-33.80229,18.46014,1,0,0,7,1125,151,5,FALSE,"FALSE"
"31","TRUE",2,1,789,4.87,-33.93164,18.40916,1,0,0,2,365,0,76,TRUE,"FALSE"
"32","TRUE",4,1,1143,4.83,-33.90974,18.40512,1,0,0,3,1125,342,97,FALSE,"FALSE"
"33","TRUE",2,10,880,4.33,-33.91478,18.39179,0,0,0,1,60,365,28,FALSE,"TRUE"
"34","FALSE",2,2,300,4,-34.00845,18.51514,0,0,0,5,30,178,2,FALSE,"FALSE"
"35","FALSE",2,3,850,5,-33.82092,18.47877,1,0,0,2,365,365,2,FALSE,"FALSE"
